trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,13,14.263627418566102,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,11,-0.8327842075301592,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,0,-64.39368050966878,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",30,10,-36.492170754474515,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,16,-26.253196341792002,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,0,-67.11692796233639,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,10,-43.536023489377705,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",30,0,-46.755850174774224,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",35,19,-36.476910798154314,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",30,16,18.01687828571439,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,8,-32.28733958535789,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",30,11,-18.523485000159376,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,3,-95.03303891976613,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 2}",1
115,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,11,-9.85415051328832,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,8,12.759614826292747,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",25,0,18.546502594967478,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,6,-25.08586122699608,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,14,3.72490655430864,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",20,8,10.570285373109355,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",30,15,7.006152543283905,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,0,18.95976688072647,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
